,NAME,Batting style,Runs,Balls Faced,Dismissals,Batting Average,Batting Strike Rate
0,Abhinav Kumar,Right-hand bat,0,0,0,,
1,AB Agarkar,Right-hand bat,179,154,10,17.9,116.23376623376623
2,Neravanda Aiyappa,Right-hand bat,0,0,0,,
3,B Akhil,Right-hand bat,76,55,6,12.666666666666666,138.1818181818182
4,L Ablish,Right-hand bat,0,2,0,,0.0
5,Anirudh Singh,Left-hand bat,63,66,4,15.75,95.45454545454545
6,J Arunkumar,Right-hand bat,23,23,3,7.666666666666667,100.0
7,Aditya Angle,Right-hand bat,0,0,0,,
8,R Ashwin,Right-hand bat,412,373,38,10.842105263157896,110.45576407506702
9,Ajitesh Argal,Right-hand bat,0,0,0,,
10,AG Murtaza,Left-hand bat,10,14,1,10.0,71.42857142857143
11,SA Asnodkar,Right-hand bat,423,339,20,21.15,124.77876106194691
12,Amit Singh,Right-hand bat,0,0,0,,
13,Anand Rajan,Right-hand bat,0,0,0,,
14,S Anirudha,Right-hand bat,136,113,8,17.0,120.35398230088495
15,Hemang Badani,Left-hand bat,0,0,0,,
16,S Badrinath,Right-hand bat,1441,1212,47,30.659574468085108,118.89438943894389
17,L Balaji,Right-hand bat,36,49,8,4.5,73.46938775510205
18,R Bhatia,Right-hand bat,342,284,30,11.4,120.4225352112676
19,AA Bilakhia,Right-hand bat,69,85,5,13.8,81.17647058823529
20,Rohan Banerjee,Left-hand bat,0,0,0,,
21,RR Bhatkal,Right-hand bat,0,2,1,0.0,0.0
22,STR Binny,Right-hand bat,880,683,46,19.130434782608695,128.84333821376282
23,SB Bangar,Right-hand bat,49,58,7,7.0,84.48275862068965
24,MS Bisla,Right-hand bat,798,702,38,21.0,113.67521367521367
25,Saurabh Bandekar,Right-hand bat,0,0,0,,
26,RR Bose,Right-hand bat,0,0,0,,
27,A Chopra,Right-hand bat,53,71,6,8.833333333333334,74.64788732394366
28,Deepak Chougule,Right-hand bat,0,0,0,,
29,B Chipli,Right-hand bat,280,251,15,18.666666666666668,111.55378486055777
30,Avik Chowdhury,Right-hand bat,0,0,0,,
31,Gaurav Chabra,Right-hand bat,0,0,0,,
32,A Chandila,Right-hand bat,4,7,0,,57.142857142857146
33,Pankaj Dharmani,Right-hand bat,0,0,0,,
34,MS Dhoni,Right-hand bat,4632,3387,113,40.991150442477874,136.7581930912312
35,R Dravid,Right-hand bat,0,0,0,,
36,P Dogra,Right-hand bat,127,138,11,11.545454545454545,92.02898550724638
37,S Dhawan,Left-hand bat,5197,4096,152,34.19078947368421,126.8798828125
38,Gaurav Dhiman,Right-hand bat,0,0,0,,
39,FY Fazal,Left-hand bat,183,173,10,18.3,105.78034682080924
40,Gagandeep Singh,Right-hand bat,0,0,0,,
41,G Gambhir,Left-hand bat,4217,3404,136,31.00735294117647,123.88366627497062
42,C Ganapathy,Right-hand bat,0,0,0,,
43,Devang Gandhi,Right-hand bat,0,0,0,,
44,SC Ganguly,Left-hand bat,1349,1263,53,25.452830188679247,106.8091844813935
45,RS Gavaskar,Left-hand bat,2,8,1,2.0,25.0
46,Y Gnaneswara Rao,Right-hand bat,0,0,0,,
47,RV Gomez,Right-hand bat,50,51,5,10.0,98.03921568627452
48,Shatrunjay Gaekwad,Left-hand bat,0,0,0,,
49,K Goel,Left-hand bat,218,231,15,14.533333333333333,94.37229437229438
50,Yogesh Golwalkar,Left-hand bat,0,0,0,,
51,Harbhajan Singh,Right-hand bat,829,600,55,15.072727272727272,138.16666666666666
52,VA Indulkar,Right-hand bat,0,0,0,,
53,Dheeraj Jadhav,Left-hand bat,0,0,0,,
54,W Jaffer,Right-hand bat,130,121,8,16.25,107.43801652892562
55,SB Jakati,Left-hand bat,28,29,1,28.0,96.55172413793103
56,AA Jhunjhunwala,Right-hand bat,217,210,13,16.692307692307693,103.33333333333333
57,SB Joshi,Left-hand bat,6,14,2,3.0,42.857142857142854
58,Joginder Sharma,Right-hand bat,0,0,0,,
59,M Kaif,Right-hand bat,259,250,18,14.38888888888889,103.6
60,KD Karthik,Right-hand bat,3823,2949,147,26.006802721088434,129.63716514072567
61,M Kartik,Left-hand bat,113,108,7,16.142857142857142,104.62962962962963
62,Z Khan,Right-hand bat,117,141,14,8.357142857142858,82.97872340425532
63,Sahil Kukreja,Right-hand bat,0,0,0,,
64,A Kumble,Right-hand bat,35,47,3,11.666666666666666,74.46808510638297
65,MA Khote,Right-hand bat,24,22,2,12.0,109.0909090909091
66,U Kaul,Left-hand bat,0,1,0,,0.0
67,KV Sharma,Left-hand bat,317,274,21,15.095238095238095,115.69343065693431
68,D Kalyankrishna,Right-hand bat,3,8,1,3.0,37.5
69,P Kumar,Right-hand bat,0,0,0,,
70,Saurasish Lahiri,Right-hand bat,0,0,0,,
71,VVS Laxman,Right-hand bat,282,267,19,14.842105263157896,105.61797752808988
72,M Manhas,Right-hand bat,514,470,23,22.347826086956523,109.36170212765957
73,MD Mishra,Right-hand bat,237,208,16,14.8125,113.9423076923077
74,WA Mota,Right-hand bat,56,75,6,9.333333333333334,74.66666666666667
75,I Malhotra,Right-hand bat,7,4,0,,175.0
76,C Madan,Right-hand bat,15,19,1,15.0,78.94736842105263
77,A Mishra,Right-hand bat,362,389,31,11.67741935483871,93.05912596401028
78,Parag More,Right-hand bat,0,0,0,,
79,VY Mahesh,Right-hand bat,15,27,2,7.5,55.55555555555556
80,VS Malik,Right-hand bat,7,7,1,7.0,100.0
81,AP Majumdar,Right-hand bat,87,76,4,21.75,114.47368421052632
82,Ashraf Makda,Left-hand bat,0,0,0,,
83,Sushant Marathe,Left-hand bat,0,0,0,,
84,A Nehra,Right-hand bat,41,62,7,5.857142857142857,66.12903225806451
85,S Nadeem,Right-hand bat,39,86,13,3.0,45.348837209302324
86,S Narwal,Left-hand bat,37,27,3,12.333333333333334,137.03703703703704
87,AM Nayar,Left-hand bat,672,577,38,17.68421052631579,116.46447140381282
88,C Nanda,Right-hand bat,0,1,1,0.0,0.0
89,Prashant Naik,Right-hand bat,0,0,0,,
90,NV Ojha,Right-hand bat,1554,1313,75,20.72,118.35491241431835
91,PP Ojha,Left-hand bat,16,45,12,1.3333333333333333,35.55555555555556
92,P Prasanth,Left-hand bat,0,0,0,,
93,Niraj Patel,Left-hand bat,0,0,0,,
94,PA Patel,Left-hand bat,2848,2358,126,22.603174603174605,120.78032230703987
95,Rajesh Pawar,Left-hand bat,0,0,0,,
96,Udit Patel,Right-hand bat,0,0,0,,
97,DT Patil,Right-hand bat,13,13,2,6.5,100.0
98,RR Powar,Right-hand bat,67,64,3,22.333333333333332,104.6875
99,YK Pathan,Right-hand bat,3204,2241,110,29.12727272727273,142.9718875502008
100,CA Pujara,Right-hand bat,390,391,19,20.526315789473685,99.74424552429667
101,IK Pathan,Left-hand bat,1139,946,53,21.49056603773585,120.40169133192389
102,MM Patel,Right-hand bat,39,41,6,6.5,95.1219512195122
103,PP Chawla,Left-hand bat,584,524,49,11.918367346938776,111.45038167938931
104,Pankaj Singh,Right-hand bat,0,0,0,,
105,Syed Quadri,Right-hand bat,0,0,0,,
106,Shashi Ranjan,Right-hand bat,0,0,0,,
107,AT Rayudu,Right-hand bat,3659,2902,124,29.508064516129032,126.0854583046175
108,SK Raina,Left-hand bat,5368,3914,161,33.3416149068323,137.1486969851814
109,M Rawat,Right-hand bat,55,69,5,11.0,79.71014492753623
110,S Rana,Right-hand bat,91,81,4,22.75,112.34567901234568
111,RK Sabharwal,Right-hand bat,0,0,0,,
112,Syed Shahabuddin,Right-hand bat,0,0,0,,
113,Dhiran Salvi,Right-hand bat,0,0,0,,
114,R Sathish,Right-hand bat,270,231,17,15.882352941176471,116.88311688311688
115,LR Shukla,Right-hand bat,405,350,27,15.0,115.71428571428571
116,RS Sodhi,Right-hand bat,4,2,0,,200.0
117,RG Sharma,Right-hand bat,5230,4004,167,31.317365269461078,130.61938061938062
118,S Sriram,Left-hand bat,31,36,2,15.5,86.11111111111111
119,TP Sudhindra,Left-hand bat,0,0,0,,
120,P Sahu,Right-hand bat,19,13,1,19.0,146.15384615384616
121,Sarandeep Singh,Right-hand bat,0,0,0,,
122,SJ Srivastava,Right-hand bat,5,5,1,5.0,100.0
123,AM Salvi,Right-hand bat,0,0,0,,
124,S Sreesanth,Right-hand bat,34,55,4,8.5,61.81818181818182
125,TL Suman,Right-hand bat,676,575,32,21.125,117.56521739130434
126,PR Shah,Right-hand bat,92,91,8,11.5,101.0989010989011
127,Jatin Saxena,Right-hand bat,0,0,0,,
128,SS Sarkar,Right-hand bat,0,0,0,,
129,Sanjib Sanyal,Right-hand bat,0,0,0,,
130,Jaydev Shah,Left-hand bat,0,0,0,,
131,J Syed Mohammad,Left-hand bat,0,0,0,,
132,V Sehwag,Right-hand bat,2728,1754,99,27.555555555555557,155.53021664766248
133,RP Singh,Right-hand bat,52,76,15,3.466666666666667,68.42105263157895
134,VRV Singh,Right-hand bat,4,3,2,2.0,133.33333333333334
135,Sunny Singh,Right-hand bat,0,0,0,,
136,SR Tendulkar,Right-hand bat,2334,1948,69,33.82608695652174,119.81519507186859
137,Bhavik Thaker,Right-hand bat,0,0,0,,
138,SK Trivedi,Right-hand bat,42,59,7,6.0,71.1864406779661
139,YV Takawale,Right-hand bat,192,178,8,24.0,107.86516853932584
140,SS Tiwary,Left-hand bat,1379,1147,50,27.58,120.22667829119442
141,Mayank Tehlan,Right-hand bat,0,0,0,,
142,TM Srivastava,Left-hand bat,8,11,1,8.0,72.72727272727273
143,MK Tiwary,Right-hand bat,1695,1449,59,28.728813559322035,116.97722567287785
144,RV Uthappa,Right-hand bat,4607,3544,165,27.921212121212122,129.9943566591422
145,A Uniyal,Left-hand bat,4,7,1,4.0,57.142857142857146
146,S Vidyut,Left-hand bat,0,0,0,,
147,PC Valthaty,Right-hand bat,505,418,22,22.954545454545453,120.8133971291866
148,Kuthethurshri Vasudevadas,Left-hand bat,0,0,0,,
149,R Vinay Kumar,Right-hand bat,0,0,0,,
150,Ganapathi Vignesh,Right-hand bat,0,0,0,,
151,Rajesh Verma,Right-hand bat,0,0,0,,
152,Y Venugopal Rao,Right-hand bat,0,0,0,,
153,Bipul Sharma,Left-hand bat,0,0,0,,
154,Santosh Yadav,Left-hand bat,0,0,0,,
155,DH Yagnik,Left-hand bat,170,137,10,17.0,124.08759124087591
156,Tinu Yohannan,Right-hand bat,0,0,0,,
157,Yuvraj Singh,Left-hand bat,0,0,0,,
158,Salil Yadav,Right-hand bat,0,0,0,,
159,AS Yadav,Right-hand bat,49,39,5,9.8,125.64102564102564
160,Yashpal Singh,Right-hand bat,0,0,0,,
161,Vivek Yadav,Right-hand bat,0,0,0,,
162,AN Ghosh,Right-hand bat,7,8,2,3.5,87.5
163,AB Dinda,Right-hand bat,26,48,10,2.6,54.166666666666664
164,AN Ahmed,Right-hand bat,36,26,1,36.0,138.46153846153845
165,AS Raut,Right-hand bat,194,167,9,21.555555555555557,116.16766467065868
166,Swapnil Singh,Right-hand bat,0,0,0,,
167,RA Jadeja,Left-hand bat,2159,1706,85,25.4,126.55334114888629
168,Puneet Bisht,Right-hand bat,0,0,0,,
169,AP Dole,Right-hand bat,34,22,2,17.0,154.54545454545453
170,Rajesh Bishnoi,Right-hand bat,0,0,3,0.0,
171,I Sharma,Right-hand bat,55,61,6,9.166666666666666,90.1639344262295
172,H Das,Right-hand bat,2,5,1,2.0,40.0
173,M Vijay,Right-hand bat,2619,2149,101,25.93069306930693,121.87063750581666
174,Jalaj Saxena,Right-hand bat,0,0,0,,
175,SP Jackson,Right-hand bat,38,31,2,19.0,122.58064516129032
176,DB Ravi Teja,Right-hand bat,0,0,0,,
177,Kshemal Waingankar,Right-hand bat,0,0,0,,
178,MB Parmar,Right-hand bat,0,0,0,,
179,B Sumanth,Right-hand bat,0,0,0,,
180,Harshad Khadiwale,Right-hand bat,0,0,0,,
181,V Kohli,Right-hand bat,5878,4496,154,38.16883116883117,130.73843416370107
182,Amanpreet Singh,Right-hand bat,0,0,0,,
183,Robin Bist,Right-hand bat,0,0,0,,
184,UA Birla,Right-hand bat,7,14,1,7.0,50.0
185,KP Appanna,Right-hand bat,2,4,1,2.0,50.0
186,Eklak Ahmid,Left-hand bat,0,0,0,,
187,Akshay Wakhare,Right-hand bat,0,0,0,,
188,Sunny Gupta,Right-hand bat,0,0,0,,
189,DP Vijaykumar,Right-hand bat,1,1,0,,100.0
190,R Sharma,Right-hand bat,66,75,14,4.714285714285714,88.0
191,Ganesh Gaikwad,Right-hand bat,0,0,0,,
192,N Saini,Right-hand bat,140,141,10,14.0,99.29078014184397
193,Sumit Khatri,Left-hand bat,0,0,0,,
194,Iqbal Abdulla,Left-hand bat,0,0,0,,
195,AM Rahane,Right-hand bat,3933,3240,124,31.717741935483872,121.38888888888889
196,DS Kulkarni,Right-hand bat,104,108,9,11.555555555555555,96.29629629629629
197,D Salunkhe,Right-hand bat,33,24,2,16.5,137.5
198,RA Shaikh,Left-hand bat,0,0,0,,
199,Napoleon Einstein,Right-hand bat,0,0,0,,
200,PJ Sangwan,Right-hand bat,24,39,7,3.4285714285714284,61.53846153846154
201,Chirag Pathak,Left-hand bat,0,0,0,,
202,SB Wagh,Left-hand bat,2,3,2,1.0,66.66666666666667
203,IR Jaggi,Right-hand bat,76,97,5,15.2,78.35051546391753
204,P Parameswaran,Right-hand bat,1,2,0,,50.0
205,WP Saha,Right-hand bat,1979,1499,77,25.7012987012987,132.02134756504336
206,SS Mundhe,Right-hand bat,0,0,0,,
207,Anup Revandkar,Right-hand bat,0,0,0,,
208,Shrideep Mangela,Left-hand bat,0,0,0,,
209,P Amarnath,Right-hand bat,0,0,0,,
210,MK Pandey,Right-hand bat,3268,2686,110,29.70909090909091,121.66790766939687
211,S Aravind,Left-hand bat,59,57,4,14.75,103.50877192982456
212,Amit Yadav,Right-hand bat,0,0,0,,
213,RR Raje,Right-hand bat,20,18,1,20.0,111.11111111111111
214,KM Jadhav,Right-hand bat,1141,919,50,22.82,124.15669205658324
215,Abdulahad Malek,Left-hand bat,0,0,0,,
216,Ishwar Chaudhary,Right-hand bat,0,0,0,,
217,R Dhawan,Right-hand bat,153,135,7,21.857142857142858,113.33333333333333
218,Natraj Behera,Right-hand bat,0,0,0,,
219,CM Gautam,Right-hand bat,169,150,10,16.9,112.66666666666667
220,SP Goswami,Left-hand bat,293,295,20,14.65,99.32203389830508
